timepoint,site,deploy_date,pull_date,plot,treatment,density_turb_adult
Final,Ava_Iti_East,210812,210823,2,Unpalatable,24
Final,Ava_Iti_East,210812,210823,2,Palatable,0
Final,Ava_Iti_East,210812,210823,3,Unpalatable,30
Final,Ava_Iti_East,210812,210823,3,Palatable,4
Final,Ava_Iti_East,210812,210823,4,Unpalatable,34
Final,Ava_Iti_East,210812,210823,4,Palatable,0
Final,Ava_Iti_East,210812,210823,5,Unpalatable,19
Final,Ava_Iti_East,210812,210823,5,Palatable,1
Final,Ava_Iti_East,210812,210823,6,Unpalatable,34
Final,Ava_Iti_East,210812,210823,6,Palatable,0
Initial,Ava_Iti_West,210820,210828,1,Unpalatable,22
Initial,Ava_Iti_West,210820,210828,1,Palatable,0
Initial,Ava_Iti_West,210820,210828,2,Unpalatable,29
Initial,Ava_Iti_West,210820,210828,2,Palatable,0
Initial,Ava_Iti_West,210820,210828,3,Unpalatable,32
Initial,Ava_Iti_West,210820,210828,3,Palatable,2
Initial,Ava_Iti_West,210820,210828,4,Unpalatable,27
Initial,Ava_Iti_West,210820,210828,4,Palatable,0
Initial,Ava_Iti_West,210820,210828,5,Unpalatable,28
Initial,Ava_Iti_West,210820,210828,5,Palatable,2
Initial,Ava_Iti_West,210820,210828,6,Unpalatable,27
Initial,Ava_Iti_West,210820,210828,6,Palatable,0
Final,Ava_Iti_West,210820,210828,1,Unpalatable,24
Final,Ava_Iti_West,210820,210828,1,Palatable,0
Final,Ava_Iti_West,210820,210828,2,Unpalatable,27
Final,Ava_Iti_West,210820,210828,2,Palatable,0
Final,Ava_Iti_West,210820,210828,3,Unpalatable,31
Final,Ava_Iti_West,210820,210828,3,Palatable,1
Final,Ava_Iti_West,210820,210828,4,Unpalatable,21
Final,Ava_Iti_West,210820,210828,4,Palatable,0
Final,Ava_Iti_West,210820,210828,5,Unpalatable,26
Final,Ava_Iti_West,210820,210828,5,Palatable,0
Final,Ava_Iti_West,210820,210828,6,Unpalatable,26
Final,Ava_Iti_West,210820,210828,6,Palatable,0
