Family,Taxonomy,Length_code,Cite_bm_conversion,Taxon_resolution,a,b,Totlen2forklen,Cite_length_conversion,Note_length_conversion
Acanthuridae,Naso unicornis,FL,Kulbicki,Species,0.018,3.035,0.904,Fishbase,
Acanthuridae,Naso vlamingii,FL,Kulbicki,Genus,0.009,3.25,0.92,Fishbase,
Acanthuridae,Zebrasoma flavescens,FL,Kulbicki,Genus,0.038,2.857,1,Fishbase,
Acanthuridae,Zebrasoma scopas,FL,Kulbicki,Species,0.029,2.993,1,Fishbase,
Acanthuridae,Zebrasoma veliferum,FL,Kulbicki,Species,0.034,2.866,1,Fishbase,
Actinopterygii,Osteichthyes unidentified,FL,Kulbicki,Body Shape,,,1,No Info,na
Apogonidae,Cheilodipterus macrodon,FL,Kulbicki,Species,0.005,3.433,0.944,Fishbase,
Apogonidae,Cheilodipterus quinquelineatus,FL,Kulbicki,Species,0.016,2.999,0.913,Fishbase,
Apogonidae,Nectamia fusca,FL,Kulbicki,Species,0.041,2.699,0.948,Genus Average,
Apogonidae,Ostorhinchus angustatus,FL,Kulbicki,Species,0.005,3.78,0.949,Fishbase,
Apogonidae,Ostorhinchus nigrofasciatus,FL,Kulbicki,Species,0.009,3.51,0.931,Fishbase,
Apogonidae,Pristiapogon exostigma,FL,Kulbicki,Species,0.017,2.991,0.95,Fishbase,
Apogonidae,Pristiapogon fraenatus,FL,Kulbicki,Species,0.013,3.165,0.962,Fishbase,
Apogonidae,Pristiapogon kallopterus,FL,Kulbicki,Species,0.01,3.314,0.917,Fishbase,
Aulostomidae,Aulostomus chinensis,FL,Kulbicki,Species,0,3.514,1,Fishbase,
Balistidae,Balistapus undulatus,FL,Kulbicki,Family,0.006,3.393,1,Fishbase,
Balistidae,Balistoides viridescens,FL,Kulbicki,Species,0.024,3.018,1,Fishbase,
Balistidae,Canthidermis maculatus,FL,Kulbicki,Family,0.006,3.393,1,Fishbase,na
Balistidae,Melichthys niger,FL,Kulbicki,Family,0.006,3.393,1,Fishbase,
Balistidae,Melichthys vidua,FL,Kulbicki,Family,0.006,3.393,1,Fishbase,
Balistidae,Odonus niger,FL,Kulbicki,Family,0.006,3.393,0.924,Fishbase,
Balistidae,Pseudobalistes flavimarginatus,FL,Kulbicki,Congener,0.073,2.76,0.945,Fishbase,
Balistidae,Pseudobalistes fuscus,FL,Kulbicki,Species,0.073,2.76,1,Fishbase,na
Balistidae,Rhinecanthus aculeatus,TL,FishBase,Species,0.052,2.641,,na,na
Balistidae,Rhinecanthus lunula,FL,Kulbicki,Family,0.006,3.393,1,Fishbase,
Balistidae,Rhinecanthus rectangulus,FL,Kulbicki,Family,0.006,3.393,1,Fishbase,
Balistidae,Sufflamen bursa,FL,Kulbicki,Genus,0.032,2.929,1,Fishbase,
Beryciformes,Holocentridae unidentified 1,FL,Kulbicki,Family,0.022,3.059,0.904,Family Average,
Blenniidae,Aspidontus dussumieri,FL,Kulbicki,Family,0.002,3.901,1,Fishbase,
Blenniidae,Aspidontus taeniatus,FL,Kulbicki,Family,0.002,3.901,1,Photograph,
Blenniidae,Atrosalarias fuscus,FL,Kulbicki,Species,0.015,3.018,1,Fishbase,
Blenniidae,Cirripectes sp.,FL,Kulbicki,Genus,0.013,3.15,1,Fishbase,na
Blenniidae,Cirripectes variolosus,FL,Kulbicki,Genus,0.013,3.15,1,Fishbase,
Blenniidae,Cirripectes variolosus (cf),FL,Kulbicki,Genus,0.013,3.15,1,Fishbase,
Blenniidae,Exallias brevis,FL,Kulbicki,Family,0.002,3.901,1,Fishbase,
Blenniidae,Plagiotremus rhinorhynchos,FL,Kulbicki,Species,0.002,3.549,1.053,Fishbase,na
Blenniidae,Plagiotremus tapeinosoma,FL,Kulbicki,Species,0.006,2.908,0.974,Fishbase,
Bothidae,Bothus mancus,FL,Kulbicki,Congener,0.002,3.751,1,Photograph,
Callionymidae,Synchiropus ocellatus,FL,Kulbicki,Congener,0.011,3.341,1,Fishbase,
Caracanthidae,Caracanthus maculatus,FL,Kulbicki,Conorder,0.025,2.908,1,Photograph,Odd shape so Used weight length relationship for family Scorpaenidae which is in the same order and has a similar shape
Caracanthidae,Caracanthus unipinna,FL,Kulbicki,Conorder,0.025,2.908,1,Photograph,Odd shape; used weight length relationship for family Scorpaenidae which is in the same order and has a similar shape
Carangidae,Carangoides ferdau,FL,Kulbicki,Species,0.037,2.851,0.833,Fishbase,na
Carangidae,Carangoides orthogrammus,FL,Kulbicki,Species,0.016,3.026,1.113,Fishbase,na
Carangidae,Caranx ignobilis,FL,Kulbicki,Species,0.016,3.059,0.877,Fishbase,
Carangidae,Caranx melampygus,FL,Kulbicki,Species,0.023,2.918,0.937,Fishbase,
Carangidae,Caranx sexfasciatus,FL,Kulbicki,Genus,0.02,2.986,0.9,Fishbase,
Carangidae,Scomberoides lysan,FL,Kulbicki,Species,0.011,2.923,0.848,Fishbase,
Carcharhinidae,Carcharhinus melanopterus,FL,Kulbicki,Genus,0.001,3.508,0.837,Fishbase,
Carcharhinidae,Triaenodon obesus,TL,FishBase,Species,0.002,3.382,,na,na
Chaetodontidae,Chaetodon auriga,FL,Kulbicki,Species,0.04,2.829,1,Fishbase,
Chaetodontidae,Chaetodon bennetti,FL,Kulbicki,Species,0.038,2.885,1,Fishbase,
Chaetodontidae,Chaetodon citrinellus,FL,Kulbicki,Species,0.035,2.834,1,Fishbase,
Chaetodontidae,Chaetodon ephippium,FL,Kulbicki,Species,0.022,3.061,1,Fishbase,
Chaetodontidae,Chaetodon lunula,FL,Kulbicki,Genus,0.045,2.814,1,Fishbase,
Chaetodontidae,Chaetodon lunulatus,FL,Kulbicki,Genus,0.045,2.814,1,Fishbase,
Chaetodontidae,Chaetodon mertensii,FL,Kulbicki,Species,0.004,3.793,1,Fishbase,
Chaetodontidae,Chaetodon ornatissimus,FL,Kulbicki,Genus,0.045,2.814,1,Fishbase,
Chaetodontidae,Chaetodon pelewensis,FL,Kulbicki,Species,0.015,3.297,1,Fishbase,
Chaetodontidae,Chaetodon quadrimaculatus,FL,Kulbicki,Genus,0.045,2.814,1,Fishbase,
Chaetodontidae,Chaetodon reticulatus,FL,Kulbicki,Genus,0.045,2.814,1,Fishbase,
Chaetodontidae,Chaetodon trichrous,FL,Kulbicki,Genus,0.045,2.814,1,Fishbase,
Chaetodontidae,Chaetodon trifascialis,FL,Kulbicki,Species,0.026,2.969,1,Fishbase,
Chaetodontidae,Chaetodon ulietensis,FL,Kulbicki,Species,0.031,2.874,1,Fishbase,
Chaetodontidae,Chaetodon unimaculatus,FL,Kulbicki,Species,0.053,2.833,1,Fishbase,
Chaetodontidae,Chaetodon vagabundus,FL,Kulbicki,Species,0.028,2.973,1,Fishbase,
Chaetodontidae,Forcipiger flavissimus,FL,Kulbicki,Family,0.042,2.847,1,Fishbase,
Chaetodontidae,Forcipiger longirostris,FL,Kulbicki,Family,0.042,2.847,1,Fishbase,
Chaetodontidae,Hemitaurichthys polylepis,FL,Kulbicki,Family,0.042,2.847,1,Fishbase,
Chaetodontidae,Heniochus chrysostomus,FL,Kulbicki,Species,0.016,3.262,1,Fishbase,
Chanidae,Chanos chanos,FL,Kulbicki,Species,0.005,3.389,0.838,Fishbase,
Cirrhitidae,Cirrhitichthys oxycephalus,TL,FishBase,Species,0.014,3.117,,na,na
Cirrhitidae,Neocirrhites armatus,FL,Kulbicki,Family,0.009,3.268,1,Fishbase,
Cirrhitidae,Paracirrhites arcatus,FL,Kulbicki,Family,0.009,3.268,1,Fishbase,
Cirrhitidae,Paracirrhites forsteri,FL,Kulbicki,Family,0.009,3.268,1,Fishbase,
Cirrhitidae,Paracirrhites hemistictus,FL,Kulbicki,Family,0.009,3.268,1,Photograph,
Craniata,No fish observed,TL,Brooks,Species,0,0,1,na,No fish observed so zero biomass
Diodontidae,Diodon hystrix,FL,Kulbicki,Species,0.193,2.472,1,Fishbase,
Echeneidae,Echeneis naucrates,FL,Kulbicki,Species,0.001,3.358,1,Fishbase,
Ephippidae,Platax orbicularis,FL,Kulbicki,Genus,0.044,2.951,1,Photograph,Variable but close to 1
Exocoetidae,Cheilopogon simus,FL,Kulbicki,Body Shape,0.006,3.006,0.842,Congener,Used group 15 from Kulbicki based on measurements taken from a drawing of Cheilopogon furcatus None of the groups seemed like a good fit
Fistulariidae,Fistularia commersonii,FL,Kulbicki,Genus,0.001,3.048,1,Fishbase,
Gobiidae,Amblyeleotris fasciata,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Amblygobius nocturnus,FL,Kulbicki,Congener,0.018,2.834,1,Fishbase,
Gobiidae,Amblygobius phalaena,FL,Kulbicki,Species,0.018,2.834,1,Fishbase,na
Gobiidae,Asterropteryx ensifera,FL,Kulbicki,Family,0.026,2.623,1,Photograph,
Gobiidae,Asterropteryx semipunctata,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Asterropteryx striata,FL,Kulbicki,Family,0.026,2.623,1,Photograph,
Gobiidae,Bryaninops sp.,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Bryaninops tigris,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Ctenogobiops feroculus,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Eviota (cf) sp.,FL,Kulbicki,Family,0.026,2.623,1,Genus Average,
Gobiidae,Fusigobius neophytus,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Gnatholepis anjerensis,FL,Kulbicki,Genus,0.018,2.827,1,Fishbase,
Gobiidae,Gobiodon quinquestrigatus (cf),FL,Kulbicki,Congener,0.058,2.439,1,Photograph,
Gobiidae,Gobiodon sp.,FL,Kulbicki,Congener,0.058,2.439,1,Congener,
Gobiidae,Paragobiodon echinocephalus,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Paragobiodon lacunicolus,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Paragobiodon modestus,FL,Kulbicki,Family,0.026,2.623,1,Fishbase,
Gobiidae,Valenciennea strigata,FL,Kulbicki,Genus,0.01,2.859,1,Fishbase,
Hemiramphidae,Hyporhamphus affinis,FL,FishBase,Species,0.001,3.575,0.96,Fishbase,
Hemiramphidae,Hyporhamphus sp.,FL,Kulbicki,Congener,0.001,3.575,0.96,Congener,
Holocentridae,Myripristis amaena,FL,Kulbicki,Species,0.016,3.261,0.862,Photograph,
Holocentridae,Myripristis berndti,FL,Kulbicki,Species,0.028,3.003,0.887,Photograph,
Holocentridae,Myripristis kuntee,FL,Kulbicki,Species,0.01,3.468,0.871,Photograph,
Holocentridae,Myripristis murdjan,FL,Kulbicki,Genus,0.028,3.03,0.89,Photograph,
Holocentridae,Myripristis violacea,FL,Kulbicki,Species,0.036,2.94,0.887,Photograph,
Holocentridae,Neoniphon argenteus,FL,Kulbicki,Genus,0.029,2.867,0.923,Photograph,
Holocentridae,Neoniphon opercularis,FL,Kulbicki,Genus,0.029,2.867,0.913,Photograph,
Holocentridae,Neoniphon sammara,FL,Kulbicki,Genus,0.029,2.867,0.909,Photograph,
Holocentridae,Sargocentron caudimaculatum,FL,Kulbicki,Genus,0.022,3.047,0.914,Fishbase,
Holocentridae,Sargocentron diadema,FL,Kulbicki,Species,0.025,2.955,0.903,Photograph,
Holocentridae,Sargocentron microstoma,FL,Kulbicki,Genus,0.022,3.047,0.937,Photograph,
Holocentridae,Sargocentron punctatissimum,FL,Kulbicki,Genus,0.022,3.047,0.913,Fishbase,
Holocentridae,Sargocentron spiniferum,FL,Kulbicki,Species,0.015,3.119,0.948,Fishbase,
Holocentridae,Sargocentron tiere,FL,Kulbicki,Genus,0.022,3.047,0.9,Photograph,
Kyphosidae,Kyphosus sp.,FL,Kulbicki,Genus,0.013,3.151,0.934,Congener,
Labridae,Anampses caeruleopunctatus,FL,Kulbicki,Genus,0.023,2.793,1,Fishbase,
Labridae,Anampses melanurus,FL,Kulbicki,Genus,0.023,2.793,1,Photograph,
Labridae,Anampses meleagrides,FL,Kulbicki,Genus,0.023,2.793,0.974,Fishbase,
Labridae,Anampses twistii,FL,Kulbicki,Genus,0.023,2.793,1,Fishbase,
Labridae,Bodianus axillaris,FL,Kulbicki,Genus,0.011,3.173,1,Fishbase,
Labridae,Cheilinus chlorourus,FL,Kulbicki,Species,0.02,2.993,1,Photograph,Variable but close to 1
Labridae,Cheilinus oxycephalus,FL,Kulbicki,Genus,0.015,3.058,1,Fishbase,
Labridae,Cheilinus sp.,FL,Kulbicki,Genus,0.015,3.058,1,Genus Average,
Labridae,Cheilinus trilobatus,FL,Kulbicki,Species,0.016,3.059,1,Photograph,Variable but close to 1
Labridae,Cheilinus undulatus,FL,Kulbicki,Species,0.011,3.136,1,Fishbase,
Labridae,Cheilio inermis,FL,Kulbicki,Species,0.004,3.082,1,Photograph,
Labridae,Cirrhilabrus exquisitus,FL,Kulbicki,Family,0.011,3.178,0.979,Fishbase,
Labridae,Cirrhilabrus scottorum,FL,Kulbicki,Family,0.011,3.178,1,Fishbase,
Labridae,Coris aygula,FL,Kulbicki,Species,0.003,3.489,1,Fishbase,
Labridae,Coris gaimard,FL,Kulbicki,Genus,0.006,3.254,1,Fishbase,
Labridae,Epibulus insidiator,FL,Kulbicki,Species,0.016,3.081,0.956,Fishbase,
Labridae,Gomphosus varius,FL,Kulbicki,Species,0.024,2.703,0.901,Fishbase,
Labridae,Halichoeres claudia,FL,Kulbicki,Genus,0.016,2.987,1,Fishbase,
Labridae,Halichoeres hortulanus,FL,Kulbicki,Genus,0.016,2.987,1,Fishbase,
Labridae,Halichoeres margaritaceus,FL,Kulbicki,Genus,0.016,2.987,1,Fishbase,
Labridae,Halichoeres marginatus,FL,Kulbicki,Genus,0.016,2.987,1,Fishbase,
Labridae,Halichoeres sp.,FL,Kulbicki,Genus,0.016,2.987,1,Genus Average,
Labridae,Halichoeres trimaculatus,FL,Kulbicki,Species,0.028,2.736,1,Fishbase,
Labridae,Hemigymnus fasciatus,FL,Kulbicki,Congener,0.024,2.923,1,Fishbase,
Labridae,Hologymnosus annulatus,FL,Kulbicki,Family,0.011,3.178,0.975,Fishbase,
Labridae,Hologymnosus doliatus,FL,Kulbicki,Family,0.011,3.178,1,Fishbase,
Labridae,Labroides bicolor,FL,Kulbicki,Congener,0.006,3.231,1,Fishbase,
Labridae,Labroides dimidiatus,FL,Kulbicki,Species,0.006,3.231,1,Fishbase,
Labridae,Labroides rubrolabiatus,FL,Kulbicki,Congener,0.006,3.231,1,Fishbase,
Labridae,Macropharyngodon meleagris,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Macropharyngodon ornatus,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Novaculichthys taeniourus,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Oxycheilinus bimaculatus,TL,Kulbicki,Species,0.02,2.83,,Fishbase,na
Labridae,Oxycheilinus lineatus,FL,Kulbicki,Family,0.011,3.178,1,Congener,
Labridae,Oxycheilinus unifasciatus,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Pseudocheilinus evanidus,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Pseudocheilinus hexataenia,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Pseudocheilinus octotaenia,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Pseudocheilinus octotaenia (cf),FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Pseudocheilinus tetrataenia,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Pseudodax moluccanus,FL,Kulbicki,Family,0.011,3.178,1,Photograph,
Labridae,Pseudojuloides atavai,FL,Kulbicki,Family,0.011,3.178,1,Photograph,Variable but close to 1
Labridae,Pseudojuloides cerasinus,FL,Kulbicki,Family,0.011,3.178,1,Photograph,na
Labridae,Stethojulis bandanensis,FL,Kulbicki,Species,0.03,2.581,1,Photograph,
Labridae,Thalassoma amblycephalum,FL,Kulbicki,Genus,0.012,3.097,1,Photograph,Variable among size classes
Labridae,Thalassoma hardwicke,FL,Kulbicki,Species,0.018,2.978,1,Photograph,Variable among size classes
Labridae,Thalassoma lutescens,FL,Kulbicki,Species,0.013,3.042,1,Photograph,Variable among size classes
Labridae,Thalassoma purpureum,FL,Kulbicki,Genus,0.012,3.097,1,Photograph,Variable among size classes
Labridae,Thalassoma quinquevittatum,FL,Kulbicki,Genus,0.012,3.097,1,Photograph,Variable among size classes
Labridae,Thalassoma trilobatum,FL,Kulbicki,Genus,0.012,3.097,1,Photograph,Variable among size classes
Labridae,Wetmorella nigropinnata,FL,Kulbicki,Family,0.011,3.178,1,Photograph,na
Lethrinidae,Gnathodentex aureolineatus,FL,Kulbicki,Species,0.018,3.063,0.897,Fishbase,
Lethrinidae,Lethrinus olivaceus,FL,Kulbicki,Species,0.029,2.851,0.927,Fishbase,
Lethrinidae,Lethrinus sp.,FL,Kulbicki,Genus,0.017,3.043,0.931,Genus Average,Avg of 2 congeners L. olivaceus and L. xanthochilus
Lethrinidae,Lethrinus xanthochilus,FL,Kulbicki,Species,0.02,2.964,0.934,Fishbase,
Lethrinidae,Monotaxis grandoculis,FL,Kulbicki,Species,0.023,3.022,0.886,Photograph,
Lethrinidae,Monotaxis sp.,FL,Kulbicki,Congener,0.023,3.022,0.886,Congener,
Lutjanidae,Aphareus furca,FL,Kulbicki,Family,0.017,3.022,0.847,Fishbase,
Lutjanidae,Aprion virescens,FL,Kulbicki,Species,0.023,2.886,0.851,Fishbase,
Lutjanidae,Lutjanus bohar,FL,Kulbicki,Species,0.016,3.059,0.949,Fishbase,
Lutjanidae,Lutjanus fulvus,FL,Kulbicki,Species,0.021,2.974,0.962,Fishbase,
Lutjanidae,Lutjanus kasmira,FL,Kulbicki,Species,0.008,3.247,0.969,Fishbase,
Lutjanidae,Lutjanus rivulatus,FL,Kulbicki,Species,0.008,3.26,0.972,Fishbase,
Malacanthidae,Malacanthus brevirostris,TL,Kulbicki,Species,0.005,3,,Fishbase,na
Microdesmidae,Nemateleotris magnifica,FL,Kulbicki,Body Shape,0.019,2.917,1,Photograph,Used group 16 from Kulbicki based on measurements taken from a photograph
Microdesmidae,Ptereleotris evides,FL,Kulbicki,Body Shape,0.019,2.917,0.944,Photograph,Used group 16 from Kulbicki based on measurements taken from a photograph
Microdesmidae,Ptereleotris heteroptera,FL,Kulbicki,Body Shape,0.019,2.917,0.974,Photograph,
Microdesmidae,Ptereleotris microlepis,FL,Kulbicki,Body Shape,0.019,2.917,1,Photograph,Used group 16 from Kulbicki based on measurements taken from a photograph of Ptereleotris evides
Microdesmidae,Ptereleotris monoptera,FL,Kulbicki,Body Shape,0.019,2.917,0.827,Photograph,Used group 16 from Kulbicki based on measurements taken from a photograph of Ptereleotris evides
Monacanthidae,Aluterus scriptus,TL,FishBase,Species,0.002,3,,na,na
Monacanthidae,Amanses scopas,FL,Kulbicki,Confamily,0.007,3.262,1,Fishbase,
Monacanthidae,Cantherhines dumerilii,NS,FishBase,Species,0.041,2.792,,na,na
Monacanthidae,Cantherhines pardalis,TL,FishBase,Species,0.017,3.07,,na,na
Monacanthidae,Cantherhines sandwichiensis,FL,Kulbicki,Confamily,0.007,3.262,1,Fishbase,
Mullidae,Mulloidichthys flavolineatus,FL,Kulbicki,Species,0.012,3.101,0.915,Fishbase,
Mullidae,Mulloidichthys vanicolensis,FL,Kulbicki,Congener,0.01,3.224,0.884,Fishbase,
Mullidae,Parupeneus barberinus,FL,Kulbicki,Species,0.013,3.122,0.884,Photograph,
Mullidae,Parupeneus ciliatus,FL,Kulbicki,Species,0.012,3.22,0.933,Fishbase,
Mullidae,Parupeneus cyclostomus,FL,Kulbicki,Genus,0.015,3.13,0.897,Photograph,
Mullidae,Parupeneus insularis,FL,Kulbicki,Genus,0.015,3.13,0.897,Photograph,
Mullidae,Parupeneus multifasciatus,FL,Kulbicki,Species,0.011,3.211,0.906,Photograph,
Mullidae,Parupeneus pleurostigma,FL,Kulbicki,Genus,0.015,3.13,0.878,Photograph,
Muraenidae,Echidna nebulosa,FL,Kulbicki,Genus,0,3.352,1,Fishbase,
Muraenidae,Gymnomuraena zebra,FL,Kulbicki,Family,0.005,2.614,1,Fishbase,
Muraenidae,Gymnothorax buroensis,FL,Kulbicki,Genus,0.001,3.303,1,Fishbase,
Muraenidae,Gymnothorax eurostus,FL,Kulbicki,Genus,0.001,3.303,1,Photograph,na
Muraenidae,Gymnothorax fimbriatus,FL,Kulbicki,Species,0,3.324,1,Fishbase,na
Muraenidae,Gymnothorax flavimarginatus,FL,Kulbicki,Genus,0.001,3.303,1,Fishbase,
Muraenidae,Gymnothorax javanicus,FL,Kulbicki,Genus,0.001,3.303,1,Fishbase,
Muraenidae,Gymnothorax meleagris,FL,Kulbicki,Genus,0.001,3.303,1,Fishbase,
Muraenidae,Gymnothorax pictus,TL,Kulbicki,Species,0.002,3,,Fishbase,na
Muraenidae,Gymnothorax undulatus,FL,Kulbicki,Genus,0.001,3.303,1,Fishbase,na
Ostraciidae,Lactoria cornuta,FL,Kulbicki,Species,0.006,3.168,1,Fishbase,
Ostraciidae,Ostracion cubicus,FL,Kulbicki,Species,0.129,2.519,1,Photograph,
Ostraciidae,Ostracion meleagris,FL,Kulbicki,Congener,0.129,2.519,1,Fishbase,
Perciformes,Acanthuridae unidentified,FL,Kulbicki,Family,0.03,2.946,0.926,Family Average,Average of all Acanthurids for which we have data
Perciformes,Blenniidae unidentified,FL,Kulbicki,Family,0.002,3.901,1,No Info,Few family members have forked tails (exception: fangblennies)
Perciformes,Blenniidae unidentified 5,FL,Kulbicki,Family,0.002,3.901,1,No Info,Few family members have forked tails (exception: fangblennies)
Perciformes,Blenniidae unidentified 6,FL,Kulbicki,Family,0.002,3.901,1,No Info,Few family members have forked tails (exception: fangblennies)
Perciformes,Carangidae unidentified,FL,Kulbicki,Family,0.008,3.197,0.904,Family Average,
Perciformes,Carangidae unidentified 1,FL,Kulbicki,Family,0.008,3.197,0.904,Family Average,
Perciformes,Gobiidae unidentified,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 1,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 12,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 2,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 3,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 4,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 5,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 6,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 7,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 8,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Gobiidae unidentified 9,FL,Kulbicki,Family,0.026,2.623,1,No Info,Few family members have forked tails
Perciformes,Labridae unidentified,FL,Kulbicki,Family,0.011,3.178,1,No Info,
Perciformes,Labridae unidentified 1,FL,Kulbicki,Family,0.011,3.178,1,No Info,
Perciformes,Labridae unidentified 2,FL,Kulbicki,Family,0.011,3.178,1,No Info,
Perciformes,Labridae unidentified 3,FL,Kulbicki,Family,0.011,3.178,1,No Info,
Perciformes,Scaridae unidentified 1,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Perciformes,Scaridae unidentified 2,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Perciformes,Scaridae unidentified 3,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Perciformes,Scaridae unidentified 4,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Perciformes,Scaridae unidentified 5,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Perciformes,Scaridae unidentified 6,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Perciformes,Scaridae unidentified 7,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Perciformes,Scaridae unidentified 8,FL,Kulbicki,Family,0.022,2.971,1,No Info,
Pinguipedidae,Parapercis millepunctata,FL,Kulbicki,Genus,0.013,2.943,1,Photograph,
Pinguipedidae,Parapercis multiplicata,FL,Kulbicki,Genus,0.013,2.943,1,Photograph,
Pinguipedidae,Parapercis schauinslandii,TL,Kulbicki,Species,0.011,3,,Fishbase,na
Polynemidae,Polydactylus sexfilis,FL,Kulbicki,Confamily,0.013,3.117,0.816,Fishbase,
Pomacanthidae,Centropyge bispinosa,FL,Kulbicki,Species,0.092,2.458,1,Fishbase,
Pomacanthidae,Centropyge flavicauda,FL,Kulbicki,Genus,0.074,2.577,1,Fishbase,na
Pomacanthidae,Centropyge flavissima,FL,Kulbicki,Genus,0.074,2.577,1,Fishbase,
Pomacanthidae,Centropyge heraldi,FL,Kulbicki,Genus,0.074,2.577,1,Fishbase,
